A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
  step 1040: action=6 reward=97 samples=2340000 elapsed=319.3s
  step 1050: action=7 reward=97 samples=2362500 elapsed=322.3s
  step 1060: action=9 reward=97 samples=2385000 elapsed=325.5s
  step 1070: action=14 reward=97 samples=2407500 elapsed=328.7s
  step 1080: action=17 reward=97 samples=2430000 elapsed=331.8s
  step 1090: action=3 reward=97 samples=2452500 elapsed=334.8s
  step 1100: action=10 reward=97 samples=2475000 elapsed=337.8s
  step 1110: action=6 reward=97 samples=2497500 elapsed=341.0s
  step 1120: action=8 reward=97 samples=2520000 elapsed=344.2s
  step 1130: action=10 reward=97 samples=2542500 elapsed=347.3s
  step 1140: action=0 reward=97 samples=2565000 elapsed=350.4s
  step 1150: action=14 reward=97 samples=2587500 elapsed=353.6s
  step 1160: action=1 reward=97 samples=2610000 elapsed=356.9s
  step 1170: action=15 reward=97 samples=2632500 elapsed=360.1s
  step 1180: action=3 reward=97 samples=2655000 elapsed=363.3s
  step 1190: action=8 reward=97 samples=2677500 elapsed=366.4s
  step 1200: action=4 reward=97 samples=2700000 elapsed=369.5s
  step 1210: action=17 reward=97 samples=2722500 elapsed=372.6s
  step 1220: action=14 reward=95 samples=2745000 elapsed=375.6s
  step 1230: action=10 reward=95 samples=2767500 elapsed=378.8s
  step 1240: action=10 reward=95 samples=2790000 elapsed=382.2s
  step 1250: action=1 reward=95 samples=2812500 elapsed=385.2s
  step 1260: action=4 reward=95 samples=2835000 elapsed=388.3s
  step 1270: action=3 reward=95 samples=2857500 elapsed=391.4s
  step 1280: action=16 reward=95 samples=2880000 elapsed=394.6s
  step 1290: action=3 reward=95 samples=2902500 elapsed=397.9s
  step 1300: action=7 reward=95 samples=2925000 elapsed=401.3s
  step 1310: action=12 reward=95 samples=2947500 elapsed=404.8s
  step 1320: action=0 reward=95 samples=2970000 elapsed=407.9s
  step 1330: action=7 reward=95 samples=2992500 elapsed=411.1s
  step 1340: action=16 reward=95 samples=3015000 elapsed=414.1s
{
  "reward": 96.0,
  "samples": 3019500,
  "wall_time_s": 414.6695499420166,
  "n_steps": 1342,
  "samples_per_action_avg": 2250.0,
  "terminated": true,
  "game": "ALE/Boxing-v5",
  "seed": 42,
  "config": {
    "n_walkers": 30,
    "time_horizon": 15,
    "max_samples_per_action": 300,
    "balance": 1.0,
    "fixed_steps": 5
  }
}
